id,equ_str,equ_prefix,sol_str,sol_prefix
21835,8*x^2*ln(2) - 2*x*y*ln(2) - x*y' + 8*x*ln(2) + y - 4 = 0,add add add add add -4 mul mul -1 x y' mul mul 8 x log 2 mul mul 8 pow x 2 log 2 mul mul mul -2 x y log 2 y,4^(c - x)*x + 4*x + 4,add add 4 mul 4 x mul x pow 4 sub c x
21836,x*y' + 4*x - 2*y - 8 = 0,add add add -8 mul -2 y mul 4 x mul x y',-x*(c*x - 3) + x - 4,add add -4 x mul mul -1 x add -3 mul c x
21837,2*x*y*y' + x - 2*y^2 - 10 = 0,add add add -10 x mul -2 pow y 2 mul mul mul 2 x y' y,sqrt(c*x^2 + x - 5),sqrt add add -5 x mul c pow x 2
21838,-y^2*sin(2) + 5*y' = 0,add mul 5 y' mul mul -1 pow y 2 sin 2,-5/(c + x*sin(2)),div -5 add c mul x sin 2
21839,x^2*y' + 8*x*y' + 8*y + 8 = 0,add add add 8 mul 8 y mul pow x 2 y' mul mul 8 x y',-(c*(x + 8) + x)/x,mul div -1 x add x mul c add 8 x
21840,60*x^4*cos(3*x^5) - 4*y' - 3 = 0,add add -3 mul -4 y' mul mul 60 pow x 4 cos mul 3 pow x 5,c - 3*x/4 + sin(3*x^5),add add c mul div -3 4 x sin mul 3 pow x 5
21841,y' - sqrt(2) + 4 = 0,add sub 4 sqrt 2 y',x*(c/x - 4 + sqrt(2)),mul x add add -4 sqrt 2 div c x
21842,-e^(3 - y)*y' - 1 = 0,add -1 mul mul -1 y' exp sub 3 y,3 - ln(c + x),sub 3 log add c x
21843,2*x^3 + x*y' - y - 5 = 0,add add sub -5 y mul 2 pow x 3 mul x y',c*x - x^3 - 5,add sub -5 pow x 3 mul c x
21844,x*sin(x) + y*sin(x) + 9*sin(x) + cos(x)*y' + cos(x) = 0,add add add add mul 9 sin x mul x sin x mul y' cos x mul y sin x cos x,c*cos(x) - x - 9,add sub -9 x mul c cos x
21845,-y*ln(2) + y' - 4*ln(2) = 0,add add mul -4 log 2 mul mul -1 y log 2 y',-2^(c + x)/2 - 4,add -4 mul div -1 2 pow 2 add c x
21846,2*cos(2*x) + y' = 0,add mul 2 cos mul 2 x y',c - sin(2*x),sub c sin mul 2 x
21847,x*y' + 3*x - 4*y + 4*(-2)^e^(-2) = 0,add add add mul -4 y mul 3 x mul 4 pow -2 exp -2 mul x y',c*x^4 + x + (-2)^e^(-2),add add x pow -2 exp -2 mul c pow x 4
21848,4*y*ln(2) + e^(5)*y' = 0,add mul y' exp 5 mul mul 4 y log 2,(c/2^(4*x))^e^(-5),pow mul c pow 2 mul -4 x exp -5
21849,-3*sin(x) + cos(x)^4*y' = 0,add mul -3 sin x mul pow cos x 4 y',c + cos(x)^(-3),add c pow cos x -3
21850,25*x*y' - 25*y + 12 = 0,add add 12 mul -25 y mul mul 25 x y',c*x + x + 12/25,add add div 12 25 x mul c x
21851,-25*(3^(1/5) + 5)^x*ln(3^(1/5) + 5) + y' = 0,add mul mul -25 pow add 5 pow 3 div 1 5 x log add 5 pow 3 div 1 5 y',c + 25*(3^(1/5) + 5)^x,add c mul 25 pow add 5 pow 3 div 1 5 x
21852,-24*x + y' + 6 = 0,add add 6 mul -24 x y',c - 6*x*(1 - 2*x),add c mul mul -6 x add 1 mul -2 x
21853,16*y' - 81 = 0,add -81 mul 16 y',c + 81*x/16,add c mul div 81 16 x
21854,x^2 - 5*x*y' + 5*y = 0,add add pow x 2 mul 5 y mul mul -5 x y',c*x + x^2/5,add mul div 1 5 pow x 2 mul c x
21855,y*ln(5) + 4*y' = 0,add mul 4 y' mul y log 5,c/5^(x/4),mul c pow 5 mul div -1 4 x
21856,2*x - 7*y' = 0,add mul -7 y' mul 2 x,c + x^2/7,add c mul div 1 7 pow x 2
21857,50*x*y*y' + 25*y^2 - 1 = 0,add add -1 mul 25 pow y 2 mul mul mul 50 x y' y,sqrt(c/x + 1)/5,mul div 1 5 sqrt add 1 div c x
21858,10*x*y' - 10*y + 1 = 0,add add 1 mul -10 y mul mul 10 x y',x*(c + 2/x)/20,mul mul div 1 20 x add c div 2 x
21859,-y*ln(3) + y' + 3*ln(3) = 0,add add mul 3 log 3 mul mul -1 y log 3 y',3^x*c + 3,add 3 mul c pow 3 x
21860,2*x^2 + 15*x*y' - 15*y = 0,add add mul -15 y mul 2 pow x 2 mul mul 15 x y',-x*(c + 2*x)/15,mul mul div -1 15 x add c mul 2 x
21861,e^(y)*y' - 1 = 0,add -1 mul y' exp y,ln(c + x),log add c x
21862,27*x^2 + 18*x + y' = 0,add add mul 18 x mul 27 pow x 2 y',c - 9*x^3 - 9*x^2,add add c mul -9 pow x 2 mul -9 pow x 3
21863,x*y' + y - 24 = 0,add add -24 mul x y' y,(c + 24*x)/x,mul pow x -1 add c mul 24 x
21864,2*x - 3*y' + 12 = 0,add add 12 mul -3 y' mul 2 x,c + x*(x/3 + 4),add c mul x add 4 mul div 1 3 x
21865,x*y' - 2*y - 8 + 2*sqrt(2) = 0,add add add -8 mul -2 y mul 2 sqrt 2 mul x y',-x*(c*x + x) - 4 + sqrt(2),add add -4 sqrt 2 mul mul -1 x add x mul c x
21866,4*y' + 19 = 0,add 19 mul 4 y',c - 19*x/4,add c mul div -19 4 x
21867,y*sin(x/4 - 3) - 16*cos(x/4 - 3)^2 + 4*cos(x/4 - 3)*y' = 0,add add mul -16 pow cos add -3 mul div 1 4 x 2 mul y sin add -3 mul div 1 4 x mul mul 4 y' cos add -3 mul div 1 4 x,(c + 4*x)*cos(x/4 - 3),mul add c mul 4 x cos add -3 mul div 1 4 x
21868,2*e^(x)*cos(2*e^(x) - 3) + y' - 1 = 0,add add -1 mul mul 2 cos add -3 mul 2 exp x exp x y',c + x - sin(2*e^(x) - 3),sub add c x sin add -3 mul 2 exp x
21869,x^2 - x*y' + y - 5 = 0,add add add -5 pow x 2 mul mul -1 x y' y,x*(c + x) - 3*x + 5,add add 5 mul -3 x mul x add c x
21870,-y*ln(5)*cos(5) + y' = 0,add mul mul mul -1 cos 5 y log 5 y',5^(c + x*cos(5)),pow 5 add c mul x cos 5
21871,y^2*sin(x + 2/5) + y^2 + 3*y' = 0,add add pow y 2 mul 3 y' mul pow y 2 sin add div 2 5 x,3/(c + x - cos(x + 2/5)),div 3 sub add c x cos add div 2 5 x
21872,-(x*(ln(x) + 1) + ln(x^x))*(x^x)^x + y' = 0,add mul mul -1 pow pow x x x add mul x add 1 log x log pow x x y',c + (x^x)^x,add c pow pow x x x
21873,7*x^2 - x*y' + y = 0,add add mul 7 pow x 2 mul mul -1 x y' y,x*(c + 7*x) - x,add mul -1 x mul x add c mul 7 x
21874,x*y' + y - 40 = 0,add add -40 mul x y' y,4*(c + 10*x)/x,mul div 4 x add c mul 10 x
21875,x*y' - y - 5*ln(2) = 0,add add mul -1 y mul -5 log 2 mul x y',c*x + 7*x - 5*ln(2),add add mul -5 log 2 mul 7 x mul c x
21876,-2*y^2 + 15*y' = 0,add mul -2 pow y 2 mul 15 y',5/(c - 2*x/3),div 5 add c mul div -2 3 x
21877,3*x^2 + y' = 0,add mul 3 pow x 2 y',c - x^3,sub c pow x 3
21878,-2*x*e^(2*x - 2) - e^(2*x - 2) + y' = 0,add add mul -1 exp add -2 mul 2 x mul mul -2 x exp add -2 mul 2 x y',c + x*e^(2*x - 2),add c mul x exp add -2 mul 2 x
21879,x - y + 2*e^(x) + y' + 3 = 0,add add sub add 3 x y mul 2 exp x y',x - (c + 2*x)*e^(x) + 4,add add 4 x mul mul -1 add c mul 2 x exp x
21880,x*y' - 64*(-2)^e^(4)*y = 0,add mul x y' mul mul -64 pow -2 exp 4 y,c*x^(4*(-2)^(4 + e^(4))),mul c pow x mul 4 pow -2 add 4 exp 4
21881,7*x^2 + x*y' - y = 0,add add mul -1 y mul 7 pow x 2 mul x y',x*(c - 7*x),mul x add c mul -7 x
21882,2*x*y^2 - 5*y^2 - 2*y' = 0,add add mul -5 pow y 2 mul -2 y' mul mul 2 x pow y 2,-2/(x*(c/x + x - 5)),div div -2 x add add -5 x div c x
21883,x*ln(x - 15*y) + 15*x*y' - x*ln(15) - x - 15*y*ln(x - 15*y) + 15*y*ln(15) = 0,add add add add add mul -1 x mul x log add x mul -15 y mul mul -1 x log 15 mul mul -15 y log add x mul -15 y mul mul 15 x y' mul mul 15 y log 15,x/15 - e^(c*x),add mul -1 exp mul c x mul div 1 15 x
21884,x^2*y' + 12 = 0,add 12 mul pow x 2 y',c + 4*(3 - 2*x)/x,add c mul div 4 x add 3 mul -2 x
21885,4*2^x*x*ln(2) - 4*2^x - x*y' + y = 0,add add add mul -4 pow 2 x mul mul -1 x y' mul mul mul 4 x pow 2 x log 2 y,2^(x + 2) + c*x,add pow 2 add 2 x mul c x
21886,x*sin(4)*y' - y*sin(4) + 5*y' = 0,add add mul 5 y' mul mul -1 y sin 4 mul mul x y' sin 4,c*(-x - 5/sin(4)),mul c add mul -1 x div -5 sin 4
21887,2*x - 30*y' + 1 = 0,add add 1 mul -30 y' mul 2 x,c + x^2/30 + x/30,add add c mul div 1 30 x mul div 1 30 pow x 2
21888,2*x - 4*y' - 5 = 0,add add -5 mul -4 y' mul 2 x,c + x^2/4 - 5*x/4,add add c mul div -5 4 x mul div 1 4 pow x 2
21889,x*y' + y - 3*cos(2) + 15 = 0,add add add 15 mul -3 cos 2 mul x y' y,c/x - 15 + 3*cos(2),add add -15 mul 3 cos 2 div c x
21890,3*x^4 - 2*x*y' + 2*y = 0,add add mul 2 y mul 3 pow x 4 mul mul -2 x y',x*(c + x^3/2),mul x add c mul div 1 2 pow x 3
21891,x^3 - x*y' + 2*y = 0,add add pow x 3 mul 2 y mul mul -1 x y',x^2*(c + x),mul pow x 2 add c x
21892,-y*ln(2) + y' - 5*ln(2) = 0,add add mul -5 log 2 mul mul -1 y log 2 y',2^(c + x) - 5,add -5 pow 2 add c x
21893,20*x + y' + 5 = 0,add add 5 mul 20 x y',c - 5*x*(2*x + 1),add c mul mul -5 x add 1 mul 2 x
21894,x*y' + 3*x - y - 2 = 0,add add sub -2 y mul 3 x mul x y',-3*x*(c + ln(x)) - 2,add -2 mul mul -3 x add c log x
21895,x*y' - y*ln(3) - y = 0,add add mul -1 y mul x y' mul mul -1 y log 3,3^ln(x)*c*x,mul mul c x pow 3 log x
21896,-3*y*ln(5) + y' + 3*ln(5) = 0,add add mul 3 log 5 mul mul -3 y log 5 y',5^(c + 3*x) + 1,add 1 pow 5 add c mul 3 x
21897,2*x*ln(3) - 2*y*ln(3) + y' - 1 = 0,add add add -1 mul mul -2 y log 3 mul mul 2 x log 3 y',3^(c + 2*x) + x,add x pow 3 add c mul 2 x
21898,2*x*ln(6) + y*ln(6) - y' - 2 = 0,add add sub -2 y' mul y log 6 mul mul 2 x log 6,6^x*c - 2*x,add mul -2 x mul c pow 6 x
21899,2*x*y*y' + 3*x - 4*y^2 - 8 = 0,add add add -8 mul -4 pow y 2 mul 3 x mul mul mul 2 x y' y,sqrt(x - (c*x - x)^4 - 2),sqrt sub add -2 x pow add mul -1 x mul c x 4
21900,-2*x*ln(x + y) + x*y' + x - 2*y*ln(x + y) = 0,add add add x mul x y' mul mul -2 x log add x y mul mul -2 y log add x y,5^(c*x^2) - x,sub pow 5 mul c pow x 2 x
21901,20*x^2 + x*y' - y = 0,add add mul -1 y mul 20 pow x 2 mul x y',-4*x*(c + 5*x),mul mul -4 x add c mul 5 x
21902,x^2*y' - 25 = 0,add -25 mul pow x 2 y',-5 + (c*x + x - 25)/x,add -5 mul pow x -1 add add -25 x mul c x
21903,5*x^2 - x*y' + y = 0,add add mul 5 pow x 2 mul mul -1 x y' y,-5*x*(c - x),mul mul -5 x sub c x
21904,13*x^2 - x*y' + y = 0,add add mul 13 pow x 2 mul mul -1 x y' y,x*(-3*x*(c/x - 4) + x),mul x add x mul mul -3 x add -4 div c x
21905,-2*x*sin(x) + x*y' + 2*x + y + 2*cos(x) = 0,add add add add mul 2 x mul 2 cos x mul x y' mul mul -2 x sin x y,c/x - x - 2*cos(x),add add mul -1 x mul -2 cos x div c x
21906,3*x^2 - 2*x*y' + 2*y = 0,add add mul 2 y mul 3 pow x 2 mul mul -2 x y',3*x*(c + x)/2 - x,add mul -1 x mul mul div 3 2 x add c x
21907,x*y' + y - 5*y' = 0,add add mul -5 y' mul x y' y,c/(15 - 3*x),div c add 15 mul -3 x
21908,cos(x) + y' = 0,add y' cos x,c - sin(x),sub c sin x
21909,y' - 32 = 0,add -32 y',c + 32*x,add c mul 32 x
21910,x*y' + 19*x - 20*y + 100 = 0,add add add 100 mul -20 y mul 19 x mul x y',c*x^20 + x + 5,add add 5 x mul c pow x 20
21911,-x*y*ln(5) + 2*x*y' - 2*y = 0,add add mul -2 y mul mul 2 x y' mul mul mul -1 x y log 5,5^(c + x/2)*x,mul x pow 5 add c mul div 1 2 x
21912,x*y' + y - 3 = 0,add add -3 mul x y' y,4 + (c - x)/x,add 4 mul pow x -1 sub c x
21913,x^2*y' - 10 = 0,add -10 mul pow x 2 y',c - 10/x,add c div -10 x
21914,-27*x^2 + y' = 0,add mul -27 pow x 2 y',c + 9*x^3,add c mul 9 pow x 3
21915,x*y' - y + 7 = 0,add sub 7 y mul x y',c*x + 5*x/2 + 7,add add 7 mul div 5 2 x mul c x
21916,-2*x^x*(ln(x) + 1) + y' - 3 = 0,add add -3 mul mul -2 pow x x add 1 log x y',c + 3*x + 2*x^x,add add c mul 2 pow x x mul 3 x
21917,x*y' - y - 20 = 0,add sub -20 y mul x y',-4*x*(c + 5/x),mul mul -4 x add c div 5 x
21918,30*x^2 + x*y' - y = 0,add add mul -1 y mul 30 pow x 2 mul x y',-30*x*(c + x),mul mul -30 x add c x
21919,x^2 - 2*x*y' + 2*y - 2 = 0,add add add -2 pow x 2 mul 2 y mul mul -2 x y',c*x + x^2/2 + 1,add add 1 mul div 1 2 pow x 2 mul c x
21920,-x*e^(x) + x*y' - y + e^(x) - 5 = 0,add add add sub -5 y mul x y' mul mul -1 x exp x exp x,c*x - 8*x + e^(x) - 5,add add add -5 mul -8 x mul c x exp x
21921,30*x^2 - x*y' + y = 0,add add mul 30 pow x 2 mul mul -1 x y' y,15*x*(c + 2*x),mul mul 15 x add c mul 2 x
21922,-27*x^x*(ln(x) + 1) + y' - 1 = 0,add add -1 mul mul -27 pow x x add 1 log x y',c + x + 27*x^x,add add c x mul 27 pow x x
21923,-6*x + y' + 2 = 0,add add 2 mul -6 x y',c + 3*x^2 - 2*x,add add c mul -2 x mul 3 pow x 2
21924,5*2^x*ln(2) + y' = 0,add mul mul 5 pow 2 x log 2 y',-5*2^x + c,add c mul -5 pow 2 x
21925,x*y' + 2*y + 4 = 0,add add 4 mul 2 y mul x y',-2*(c/x + x)/x,mul div -2 x add x div c x
21926,-6*y^2 + y' = 0,add mul -6 pow y 2 y',-4/(c + 24*x + 12),div -4 add add 12 c mul 24 x
21927,4*x*y' + 4*y - y' = 0,add add mul -1 y' mul 4 y mul mul 4 x y',c/(80*x - 20),div c add -20 mul 80 x
21928,x*y' - 20 = 0,add -20 mul x y',c + 20*ln(x),add c mul 20 log x
21929,5*x^2 + 3*x*e^(2)*y' - 3*y*e^(2) + 20*e^(2) = 0,add add add mul 5 pow x 2 mul 20 exp 2 mul mul -3 exp 2 y mul mul mul 3 x y' exp 2,5*x*(c - x*e^(-2))/3 + 20/3,add div 20 3 mul mul div 5 3 x add c mul mul -1 x exp -2
21930,2*x^2*e^(1/(2*x))*y' + 1 = 0,add 1 mul mul mul 2 pow x 2 y' exp div div 1 2 x,c - e^(-1/(2*x)),sub c exp div div -1 2 x
21931,64*x^2 + 9*x*y' - 9*y = 0,add add mul -9 y mul 64 pow x 2 mul mul 9 x y',64*x*(c - 3*x)/27,mul mul div 64 27 x add c mul -3 x
21932,x*y' + y*ln(-y) - y*ln(54) = 0,add add mul x y' mul y log mul -1 y mul mul -1 y log 54,-54*3^(c/x),mul -54 pow 3 div c x
21933,2*x*y' - 3*y + 12 = 0,add add 12 mul -3 y mul mul 2 x y',x*sqrt(c*x) + 4,add 4 mul x sqrt mul c x
21934,x*ln(x - y) + x*y' - x - x*ln(2) - y*ln(x - y) + y*ln(2) = 0,add add add add add mul -1 x mul x y' mul x log sub x y mul y log 2 mul mul -1 x log 2 mul mul -1 y log sub x y,x - 2*e^(c*x),add x mul -2 exp mul c x
21935,x*y' - 2*y + 2*cos(3) = 0,add add mul -2 y mul 2 cos 3 mul x y',c*x^2 + cos(3),add mul c pow x 2 cos 3
21936,3*x^2 - x*y' + y - 15 = 0,add add add -15 mul 3 pow x 2 mul mul -1 x y' y,x*(c + 3*x + (15 - 3*x)/x),mul x add add c mul 3 x mul pow x -1 add 15 mul -3 x
21937,-3*cos(x) + y' + 1 = 0,add add 1 mul -3 cos x y',c - x + 3*sin(x),add sub c x mul 3 sin x
21938,-y*e^(x)*ln(y) + e^(x)*y' + y' = 0,add add mul y' exp x mul mul mul -1 exp x y log y y',2^(c*(-e^(x) - 1)),pow 2 mul c sub -1 exp x
21939,x*y' + 10*x - 3*y = 0,add add mul -3 y mul 10 x mul x y',x*(5*x*(c*x + x) + 5),mul x add 5 mul mul 5 x add x mul c x
21940,x*y' - 3*y*ln(-y - 3) + 15*y - 9*ln(-y - 3) + 45 = 0,add add add add 45 mul -9 log sub -3 y mul 15 y mul x y' mul mul -3 y log sub -3 y,-e^(c*x^3 + 5) - 3,sub -3 exp add 5 mul c pow x 3
21941,-30*x^2 + y' + 20 = 0,add add 20 mul -30 pow x 2 y',c + 10*x*(x^2 - 2),add c mul mul 10 x add -2 pow x 2
21942,x*y' + 10 = 0,add 10 mul x y',c - 10*ln(x),add c mul -10 log x
21943,x*y' + 5*y - 7*y' = 0,add add mul -7 y' mul 5 y mul x y',c/(x - 7)^5,mul c pow add -7 x -5
21944,2*x^2 - x*y' + y = 0,add add mul 2 pow x 2 mul mul -1 x y' y,2*x*(c + x) + x,add x mul mul 2 x add c x
21945,6*x + y' + 2 = 0,add add 2 mul 6 x y',c - 3*x^2 - 2*x,add add c mul -3 pow x 2 mul -2 x
21946,x*y' - y*ln(y) - 2*y' = 0,add add mul -2 y' mul x y' mul mul -1 y log y,10^(c*(2 - x)),pow 10 mul c sub 2 x
21947,6*y*ln(2) + y' = 0,add mul mul 6 y log 2 y',4^(2 - 3*x)*c,mul c pow 4 add 2 mul -3 x
21948,3*sin(x + 4) + cos(x + 4)^4*y' = 0,add mul 3 sin add 4 x mul pow cos add 4 x 4 y',c - 1/cos(x + 4)^3,sub c pow cos add 4 x -3
21949,x*y' + y + 3 = 0,add add 3 mul x y' y,-2 + (c - x)/x,add -2 mul pow x -1 sub c x
21950,4*x^2 - 7*x*y' + 7*y = 0,add add mul 4 pow x 2 mul 7 y mul mul -7 x y',4*x*(c + x/7),mul mul 4 x add c mul div 1 7 x
21951,-y*e^(4)*cos(x) + e^(4)*sin(x)*y' + cos(x) = 0,add add mul mul y' exp 4 sin x mul mul mul -1 cos x exp 4 y cos x,c*sin(x) + e^(-4),add mul c sin x exp -4
21952,y' - 1 - 2*sin(4) = 0,add add -1 mul -2 sin 4 y',c + x + (2*x - 8)*sin(4),add add c x mul add -8 mul 2 x sin 4
21953,8*x - 4*y' - 1 = 0,add add -1 mul -4 y' mul 8 x,c + x^2 - x/4,add add c pow x 2 mul div -1 4 x
21954,x*e^(y)*y' - 4*x - 2*e^(y) = 0,add add mul -4 x mul -2 exp y mul mul x y' exp y,ln(x*(c*x - 4)),log mul x add -4 mul c x
21955,27*x*y' + 27*y - 82 = 0,add add -82 mul 27 y mul mul 27 x y',c/x + 82/27,add div 82 27 div c x
21956,-y + y' - 5 = 0,add sub -5 y y',c*e^(x) - 5,add -5 mul c exp x
21957,4*x^2 - x*y' + y + 2 = 0,add add add 2 mul 4 pow x 2 mul mul -1 x y' y,-x*(c - 4*x) - 2,add -2 mul mul -1 x add c mul -4 x
21958,x^2*y' + sin(5) = 0,add mul pow x 2 y' sin 5,(c*x + sin(5))/x,mul pow x -1 add mul c x sin 5
21959,2*x*ln(sin(1)) - 2*y*ln(sin(1)) + 3*y' - 3 = 0,add add add -3 mul 3 y' mul mul -2 y log sin 1 mul mul 2 x log sin 1,c*sin(1)^(2*x/3) + x,add x mul c pow sin 1 mul div 2 3 x
21960,2*x*y*y' + 4*x*y' - 5*y^2 - 20*y - 55 = 0,add add add add -55 mul -20 y mul -5 pow y 2 mul mul 4 x y' mul mul mul 2 x y' y,sqrt(c*x^5 - 7) - 2,add -2 sqrt add -7 mul c pow x 5
21961,x*y' + x - 2*y - 4 = 0,add add add -4 x mul -2 y mul x y',x*(c*x - 1) + 2*x - 2,add add -2 mul 2 x mul x add -1 mul c x
21962,-y^2 + 20*y' = 0,add mul -1 pow y 2 mul 20 y',-5/(c + x/4),div -5 add c mul div 1 4 x
21963,3*6^(x^3)*x^2*ln(6) + y' + 1 = 0,add add 1 mul mul mul 3 pow 6 pow x 3 pow x 2 log 6 y',-6^(x^3) + c - x,sub sub c x pow 6 pow x 3
21964,x^2*y' + 8 = 0,add 8 mul pow x 2 y',c + (x + 8)/x,add c mul pow x -1 add 8 x
21965,(3/x)^x*(ln(3/x) - 1) + y' = 0,add mul pow div 3 x x add -1 log div 3 x y',c - (3/x)^x,sub c pow div 3 x x
21966,2*x*ln(x - y + 3) + x*y' - x - 2*y*ln(x - y + 3) + 6*ln(x - y + 3) = 0,add add add add mul -1 x mul 6 log sub add 3 x y mul x y' mul mul -2 y log sub add 3 x y mul mul 2 x log sub add 3 x y,-5^(c*x^2) + x + 3,sub add 3 x pow 5 mul c pow x 2
21967,x^2 + x*y' - y - 11 = 0,add sub add -11 pow x 2 y mul x y',-x*(c + x) - 4*x - 11,add add -11 mul -4 x mul mul -1 x add c x
21968,8*x^4*y' + 3*sin(1/(8*x^3)) = 0,add mul 3 sin mul div 1 8 pow x -3 mul mul 8 pow x 4 y',c - cos(1/(8*x^3)),sub c cos mul div 1 8 pow x -3
21969,-6*x + y' + 9 = 0,add add 9 mul -6 x y',c + 3*x*(x - 3),add c mul mul 3 x add -3 x
21970,y*ln(5) + y' + ln(5) = 0,add add mul y log 5 y' log 5,5^(c - x) - 1,add -1 pow 5 sub c x
21971,2*x*y' - 2*y - y' = 0,add add mul -1 y' mul -2 y mul mul 2 x y',c*(-2*x^2 + x)/x,mul div c x add x mul -2 pow x 2
21972,x*sin(x) + x*y' + y - cos(x) - 4 = 0,add add add sub -4 cos x mul x y' mul x sin x y,c/x + cos(x) + 4,add add 4 div c x cos x
21973,3*y^2 + 16*y' = 0,add mul 3 pow y 2 mul 16 y',4/(c + 3*x/4),div 4 add c mul div 3 4 x
21974,x*cos(x) + x*y' - 2*y - 2*sin(x) = 0,add add add mul -2 y mul -2 sin x mul x y' mul x cos x,c*x^2 - sin(x),add mul -1 sin x mul c pow x 2
21975,x*y' - 16*x - 2*y - 4 = 0,add add add -4 mul -16 x mul -2 y mul x y',-3*x*(c*x + 5) - x - 2,add sub -2 x mul mul -3 x add 5 mul c x
21976,30*x^3 - x*y' + y = 0,add add mul 30 pow x 3 mul mul -1 x y' y,x*(c + 15*x^2),mul x add c mul 15 pow x 2
21977,2*x*y' + 2*y - 5*y' = 0,add add mul -5 y' mul 2 y mul mul 2 x y',c/(3*x - 15/2),div c add div -15 2 mul 3 x
21978,-3*e^(3*x + 3) + y' - 1 = 0,add add -1 mul -3 exp add 3 mul 3 x y',c + x + e^(3*x + 3),add add c x exp add 3 mul 3 x
21979,49*x^48 + y' = 0,add mul 49 pow x 48 y',c - x^49,sub c pow x 49
21980,y*ln(2) + y' - 2*ln(2) = 0,add add mul -2 log 2 mul y log 2 y',2 + c/2^x,add 2 mul c pow 2 mul -1 x
21981,x - 27*y' = 0,add x mul -27 y',c + x^2/54,add c mul div 1 54 pow x 2
21982,x^2*y' + 2 = 0,add 2 mul pow x 2 y',(c*x + 6*x + 2)/x,mul pow x -1 add add 2 mul 6 x mul c x
21983,-11*sin(11*x) + y' = 0,add mul -11 sin mul 11 x y',c - cos(11*x),sub c cos mul 11 x
21984,-x*y' - y - 3 = 0,add sub -3 y mul mul -1 x y',-2 - (c + x)/x,add -2 mul div -1 x add c x
21985,x*y' - y*ln(-y) - 6*y*ln(2) = 0,add add mul x y' mul mul -1 y log mul -1 y mul mul -6 y log 2,-4^(c*x)/64,mul div -1 64 pow 4 mul c x
21986,-18*x + y' + 1 = 0,add add 1 mul -18 x y',c + 9*x^2 - x,add sub c x mul 9 pow x 2
21987,15*x*y' + 15*y + 4 = 0,add add 4 mul 15 y mul mul 15 x y',(c - 4*x/5)/(3*x),mul div div 1 3 x add c mul div -4 5 x
21988,-y*ln(5) + y' + 4*ln(5) = 0,add add mul 4 log 5 mul mul -1 y log 5 y',5^x*c + 4,add 4 mul c pow 5 x
21989,x^3*y' + 3*x^2*y + y' = 0,add add mul pow x 3 y' mul mul 3 pow x 2 y y',c*x/(x^4 + x),div mul c x add x pow x 4
21990,(-x + 5*y)*(10*y' - 2) - 1 = 0,add -1 mul add -2 mul 10 y' add mul -1 x mul 5 y,x/5 + sqrt(c + x)/5,add mul div 1 5 x mul div 1 5 sqrt add c x
21991,3*x^2*y^2 - 16*cos(5)*y' = 0,add mul mul -16 y' cos 5 mul mul 3 pow x 2 pow y 2,4*cos(5)/(c - x^3/4),mul div 4 add c mul div -1 4 pow x 3 cos 5
21992,6*x + y' - 2 = 0,add add -2 mul 6 x y',c + x*(2 - 3*x),add c mul x add 2 mul -3 x
21993,x^2 - x*e^(4)*y' + y*e^(4) + 6 = 0,add add add 6 pow x 2 mul exp 4 y mul mul mul -1 x y' exp 4,(x*(c + x) + 3*x - 6)*e^(-4),mul add add -6 mul 3 x mul x add c x exp -4
21994,2*x^3*y' - 3 = 0,add -3 mul mul 2 pow x 3 y',c + (-x - 3/x)/(4*x),add c mul div div 1 4 x add mul -1 x div -3 x
21995,x^2 - x*y' + y - 2 = 0,add add add -2 pow x 2 mul mul -1 x y' y,c*x + x^2 + x + 2,add add add 2 x pow x 2 mul c x
21996,4*x^2*y' - 8*x*y + 40*x + y' = 0,add add add mul 40 x mul mul -8 x y mul mul 4 pow x 2 y' y',c*(-8*x^2 - 2) + 5,add 5 mul c add -2 mul -8 pow x 2
21997,-12*x^3 + y' - 2 = 0,add add -2 mul -12 pow x 3 y',c + 3*x^4 + 2*x,add add c mul 2 x mul 3 pow x 4
21998,y^2*sin(x) + 2*y^2 + 3*y' = 0,add add mul 2 pow y 2 mul 3 y' mul pow y 2 sin x,3/(c + 2*x - cos(x)),div 3 add sub c cos x mul 2 x
21999,e^(x) + y' + 2 = 0,add add 2 y' exp x,c - 2*x - e^(x),add sub c exp x mul -2 x
22000,x^2 - 10*x*y' + 10*y + 10 = 0,add add add 10 pow x 2 mul 10 y mul mul -10 x y',x*(c + x)/10 - 1,add -1 mul mul div 1 10 x add c x
22001,x*y' + 3*x - 2*y + 18 = 0,add add add 18 mul -2 y mul 3 x mul x y',c*x^2 + 3*x + 9,add add 9 mul 3 x mul c pow x 2
22002,x*y' - y = 0,add mul -1 y mul x y',c*x - 26*x/15,add mul div -26 15 x mul c x
22003,-3^x*x*ln(3) - 3^x + x^x*(ln(x) + 1) + y' + 3 = 0,add add add sub 3 pow 3 x mul pow x x add 1 log x mul mul mul -1 x pow 3 x log 3 y',3^x*x + c - 3*x - x^x,add add sub c pow x x mul -3 x mul x pow 3 x
22004,x^3*e^(x) - x^2*e^(x) - x*y' + 3*y + 3 = 0,add add add add 3 mul 3 y mul pow x 3 exp x mul mul -1 x y' mul mul -1 pow x 2 exp x,x*(x*(c*x + e^(x)) - 1) + x - 1,add add -1 x mul x add -1 mul x add mul c x exp x
